날짜,전국,서울,경기,인천,부산,대구,광주,대전,울산,세종,강원,충북,충남,전북,전남,경북,경남,제주
2004-09-30,63.06114079,61.34720553,65.26746107,66.16858614,58.79638208,61.51592828,59.01452469,78.13660917,53.01891996,,67.63977684,61.74463363,74.81370789,58.22187401,61.53261785,64.17256942,61.76425482,53.1644561
2004-10-31,62.98979648,61.11453708,65.00614221,65.90353863,58.71684029,61.55932451,59.88133341,77.95222792,53.3470381,,68.08281102,62.18409517,74.61905428,58.51804338,61.46567878,64.33085209,61.74862705,53.09821117
2004-11-30,62.74479524,60.83519119,64.5733525,65.45160059,58.50371931,61.54251265,60.1318807,76.92433933,53.56819146,,68.08948826,61.98207721,73.96429327,58.80069328,61.37530711,64.42469878,61.72203532,53.09462566
2004-12-31,62.48308965,60.58623819,64.17827911,64.96011489,58.22075184,61.44408177,60.28185898,76.07099445,53.58259205,,68.08526936,61.68568308,73.65794288,58.86575173,61.13269296,64.40643643,61.62020786,53.11795036
2005-01-31,62.32945548,60.43093779,63.85817096,64.63294682,58.05685906,61.43342399,60.41548434,75.59774443,53.64958668,,68.36052592,61.7906445,74.02557577,58.88529883,60.94175716,64.39934077,61.56864106,52.96769284
2005-02-28,62.65825403,61.04523871,64.30075487,64.63174776,57.98403935,61.70423919,60.70262144,75.88890668,53.69516191,,68.64144068,62.21954413,74.90577358,59.11903106,61.08691017,64.47858178,61.66234439,52.95910067
2005-03-31,63.02079527,61.3393951,64.81218955,64.89984386,58.01085243,62.07526131,61.10782052,76.80874345,53.94242255,,68.8694071,62.79472805,75.89796044,59.31293582,60.85566942,64.7442048,62.09061433,52.95910067
2005-04-30,63.50358028,62.02004518,65.25624428,65.16090929,58.14260951,62.77166686,61.47732407,77.5988646,54.49696742,,68.75815006,63.29906907,76.85652269,59.61576182,61.78825563,65.20614289,62.47585917,52.9250515
2005-05-31,63.98563317,62.58652357,65.93122256,65.33416445,58.17131037,63.62507254,61.8103507,78.0007313,55.01007556,,69.42876799,63.78225194,77.06092047,59.79509421,61.66043559,65.83958827,63.0162839,52.88084773
2005-06-30,64.75343855,63.74360839,67.36256895,65.38150861,58.1957763,64.3037149,62.03034472,78.45066245,55.4529344,,69.72395486,64.18957671,77.50210599,59.88117495,61.89425112,66.47833186,63.3292092,53.090752
