날짜,전국,서울,부산,대구,인천,광주,대전,울산,수도권,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
1986-01-31,20.973142690293816,17.152933389851356,20.092424947142092,24.918089871581024,26.14521201313885,30.59392185720338,32.732910531309386,25.969996124749912,,,,,,,,,,,
1986-02-28,20.973142690293816,17.182661177355424,20.179217279527165,24.918089871581024,26.145212013138845,30.7674223592291,32.732910531309386,25.92251898375401,,,,,,,,,,,
1986-03-31,20.934518118120174,17.152933389851356,20.092424947142092,25.05253999678739,25.937049497110685,30.246920853151924,32.61938598611411,25.637656137778695,,,,,,,,,,,
1986-04-30,20.818644401599204,17.03402223983505,20.00563261475704,25.05253999678739,25.77051948428814,30.420421355177652,32.61938598611411,25.637656137778695,,,,,,,,,,,
1986-05-31,20.6641461129046,16.944838877322827,19.745255617601853,25.05253999678739,25.52072446505434,30.246920853151924,32.61938598611411,25.969996124749915,,,,,,,,,,,
1986-06-30,20.548272396383638,16.76647215229838,19.745255617601853,25.05253999678739,25.187664439409254,30.246920853151924,32.43017841078862,25.969996124749915,,,,,,,,,,,
1986-07-31,20.432398679862676,16.70701657729023,19.528274786639184,24.78363974637465,24.937869420175435,30.0734203511262,31.59766507935647,25.969996124749915,,,,,,,,,,,
1986-08-31,20.393774107689026,16.70701657729023,19.354690121869066,24.783639746374647,24.604809394530363,30.246920853151924,31.59766507935647,25.969996124749912,,,,,,,,,,,
1986-09-30,20.43239867986268,16.736744364794298,19.354690121869066,24.918089871581028,24.355014375296548,30.246920853151924,31.59766507935647,25.54270185578692,,,,,,,,,,,
1986-10-31,20.43239867986268,16.67728878978615,19.288121294465135,25.405936330187018,24.070263111943916,30.18928203541432,31.441429793298973,25.819700446578818,,,,,,,,,,,
1986-11-30,20.239275818994418,16.498922064761697,19.244874385733144,25.182292524463538,23.98697500429013,30.18928203541432,31.441429793298973,25.91427810389229,,,,,,,,,,,
1986-12-31,20.0847775302998,16.290827552233168,19.244874385733144,25.18229252446354,23.57053446602121,30.18928203541432,31.44142979329897,25.914278103892286,,,,,,,,,,,
1987-01-31,20.046152958126143,16.290827552233168,19.374615111929096,24.95864871874006,23.57053446602121,30.18928203541432,30.349451992094565,25.535967474638387,,,,,,,,,,,
1987-02-28,19.96890381377884,16.23137197722502,19.288121294465135,24.95864871874006,23.19573798157918,30.304508302725047,30.27414317821841,25.819700446578818,,,,,,,,,,,
1987-03-31,19.96890381377884,16.142188614712794,19.46110892939306,24.95864871874006,23.070805820098496,30.477347703691162,30.27414317821841,26.48174404777314,,,,,,,,,,,
1987-04-30,19.96890381377884,16.023277464696495,20.239553286568796,25.003377479884755,22.654365281829577,30.534960837346528,30.349451992094565,26.90734350568378,,,,,,,,,,,
1987-05-31,20.007528385952487,16.023277464696495,20.326047104032757,25.137563763318834,22.321212851214433,30.534960837346528,30.349451992094565,26.90734350568378,,,,,,,,,,,
1987-06-30,20.007528385952487,15.963821889688347,20.412540921496728,25.137563763318834,22.362856905041333,30.534960837346528,30.349451992094565,26.90734350568378,,,,,,,,,,,
1987-07-31,20.084777530299803,15.963821889688345,20.88825691754855,25.629580135910484,22.19628068973375,30.534960837346528,30.349451992094565,27.853120078818534,,,,,,,,,,,
1987-08-31,20.200651246820758,16.112460827208718,21.104491461208482,26.076867747357447,22.07134852825308,30.82302650562339,30.349451992094565,27.427520620907902,,,,,,,,,,,
1987-09-30,21.050391834641147,16.58810542727392,23.093849262879772,29.16315226634144,22.73765338948336,31.111092173900246,30.27414317821841,28.420586022699396,,,,,,,,,,,
1987-10-31,21.552511272898638,16.825927727306524,23.483071441467633,29.968269966945954,24.320127434905277,31.168705307555616,30.27414317821841,29.555517910461095,,,,,,,,,,,
1987-11-30,21.90013242246152,17.034022239835046,24.607491068499225,30.997031473273946,24.736567973174207,31.86006291142006,30.010562329651822,30.264850340312158,,,,,,,,,,,
1987-12-31,21.977381566808827,17.063750027339122,24.650737977231227,31.35486156243151,24.736567973174207,31.860062911420055,29.972907922713745,30.264850340312158,,,,,,,,,,,
1988-01-31,22.440876432892658,17.39075568988395,24.953466338355106,33.680757141955674,25.111364457616247,32.897099317216735,29.972907922713745,30.406716826282384,,,,,,,,,,,
1988-02-29,23.174743304192074,18.044767014973598,25.77515760426281,34.485874842560186,26.110821749461653,33.358004386459704,30.085871143527996,30.87960511284976,,,,,,,,,,,
1988-03-31,23.86998560331784,18.460956040030656,26.20762669158266,36.67758413865026,27.610007687229796,34.337427658601015,30.98957691004198,31.305204570760406,,,,,,,,,,,
1988-04-30,24.372105041575338,18.84741727758363,27.072564866222358,36.67758413865026,28.151380386979397,35.77775599998528,31.328466572484714,32.72386943046254,,,,,,,,,,,
1988-05-31,24.87422447983284,19.05551179011216,28.023996858326004,38.019446972991126,28.526176871421434,38.02466821254474,31.403775386360866,34.00066780419446,,,,,,,,,,,
1988-06-30,25.1445964850484,19.144695152624394,28.888935032965716,38.19836201756992,28.900973355863464,38.0822813462001,31.40377538636087,34.5681337480753,,,,,,,,,,,
1988-07-31,25.80121421200052,19.79870647771404,29.27815721155358,38.19836201756992,29.608922270920644,40.61725922703643,31.629701827989386,35.56119914986681,,,,,,,,,,,
1988-08-31,26.728203944168207,20.51217337781184,30.748552108441043,38.19836201756992,31.066464154861873,41.366229964556226,31.930937083494044,37.216308152852626,,,,,,,,,,,
1988-09-30,26.535081083299932,20.274351077779247,30.748552108441043,38.19836201756992,30.983176047208108,40.962938028968644,32.49575318756527,37.216308152852626,,,,,,,,,,,
1988-10-31,26.457831938952626,20.12571214025887,30.921539743368985,37.43797307811008,30.650023616592954,41.366229964556226,32.68402522225569,37.216308152852626,,,,,,,,,,,
1988-11-30,26.11021078938974,19.798706477714042,30.186342294925247,36.901227944373744,30.56673550893917,41.48145623186699,32.68402522225569,37.452752296136325,,,,,,,,,,,
1988-12-31,26.380582794605317,20.214895502771093,30.22958920365723,36.67758413865026,30.483447401285378,41.48145623186699,32.68402522225569,38.58768418389803,,,,,,,,,,,
1989-01-31,27.07582509373108,20.98781797787704,30.878292834636998,36.72231289979496,30.983176047208104,42.51849263766367,33.361804547141176,39.2970166137491,,,,,,,,,,,
1989-02-28,28.504934264156255,22.38502399056858,32.218947005328516,38.779835912450935,32.02427739288041,44.36211291463553,34.303164720593244,39.48617192837606,,,,,,,,,,,
1989-03-31,29.547797712844904,23.21740204068268,33.25687281489616,40.166427507936525,33.44017522299476,45.91766752333054,36.600083543816275,40.43194850151081,,,,,,,,,,,
1989-04-30,31.36315260500662,24.792974778398666,35.41921825149539,43.61054211607806,34.023191976571255,50.69955761672633,36.788355578506696,42.60723461972075,,,,,,,,,,,
1989-05-31,31.67214918239584,24.52542469086199,37.797798231754534,43.74472839951214,35.4807338605125,51.21807581962466,35.31983370792147,42.60723461972075,,,,,,,,,,,
1989-06-30,31.55627546587489,24.020052303292708,38.57624258893027,43.74472839951214,35.31415764520493,51.56375462155688,35.206870487107224,43.269278220915076,,,,,,,,,,,
1989-07-31,31.247278888485656,23.633591065739743,38.230267319074386,43.74472839951214,35.31415764520493,53.98350623508248,33.43711336101734,43.269278220915076,,,,,,,,,,,
